company,industry,region,date,employees_laid_off,funds_raised
Google,Consumer,US,2023-01-20,12000,26000
Microsoft,Consumer,US,2023-01-18,10000,100000
Amazon,Retail,US,2023-01-04,18000,108000
Meta,Consumer,US,2023-03-14,10000,26500
Salesforce,Enterprise,US,2023-01-04,8000,6500
Spotify,Consumer,Europe,2023-01-23,600,2880
SAP,Enterprise,Europe,2023-01-26,3000,2500
Zoom,Consumer,US,2023-02-07,1300,276
Twilio,Infrastructure,US,2023-02-13,1500,614
Dell,Hardware,US,2023-02-06,6650,0
Yahoo,Consumer,US,2023-02-09,1600,6
eBay,Retail,US,2023-02-07,500,1200
LinkedIn,Consumer,US,2023-02-08,716,0
Coinbase,Crypto,US,2023-01-10,950,573
Crypto.com,Crypto,Asia,2023-01-13,500,3600
Byju's,Education,Asia,2023-06-15,1000,5800
Ola,Transportation,Asia,2023-07-03,200,5000
Flipkart,Retail,Asia,2023-10-02,700,12900
Rivian,Transportation,US,2023-04-11,840,13500
Unity,Consumer,US,2023-11-28,1800,1300
Stripe,Fintech,US,2023-03-15,1100,8700
Klarna,Fintech,Europe,2023-05-23,500,4500
GoTo,Consumer,Asia,2023-11-17,200,1300
Nokia,Hardware,Europe,2023-10-19,14000,600
Ericsson,Hardware,Europe,2023-02-24,8500,400
Netflix,Consumer,US,2022-05-17,150,121000
Tesla,Transportation,US,2022-06-03,229,20200
Shopify,Retail,Canada,2022-07-26,1000,1600
Coinbase,Crypto,US,2022-06-14,1100,573
Klarna,Fintech,Europe,2022-05-23,700,4500
